Date	Price	Open	High	Low	Vol.	Change %
2016/3/10	129.06	129.47	129.78	128.94	11.52K	-0.32
2016/3/9	129.48	130	130	129.44	10.60K	-0.34
2016/3/8	129.92	129.38	130.09	129.38	17.76K	0.45
2016/3/7	129.34	129.58	129.58	129.27	44.40K	-0.12
2016/3/4	129.5	129.83	130.05	129.34	46.71K	-0.32
2016/3/3	129.92	129.83	130.05	129.62	24.37K	0.13
2016/3/2	129.75	130	130.17	129.59	94.73K	-0.19
2016/3/1	130	130.95	131.22	129.98	154.09K	-0.7
2016/2/29	130.91	130.78	131	130.66	264.22K	0.12
2016/2/26	130.75	131.25	131.27	130.58	1.28M	-0.53
2016/2/25	131.45	130.94	131.59	130.84	2.26M	0.34
2016/2/24	131	131.12	131.8	130.89	2.56M	0.05
2016/2/23	130.94	130.86	131.17	130.36	2.43M	0.12
2016/2/22	130.78	130.86	130.94	130.56	1.25M	-0.1
2016/2/19	130.91	131.09	131.28	130.64	1.32M	-0.01
